gpu,dataset,algorithm,epochs,batch_size,raw_images,N,io_power_w,setup_power_w,recon_power_w
H200,R8000,pie,1,1000,8000,64,85.815,,137.31778261
H200,R8000,pie,2,1000,8000,64,85.44,,137.70343529
H200,R8000,pie,4,1000,8000,64,85.37,,137.95578885
H200,R8000,pie,6,1000,8000,64,85.8525,,137.84955487
MI300A,R1000,ad_ptycho,1,1000,1000,64,88.88888889,146.0,131.25
MI300A,R1000,ad_ptycho,2,1000,1000,64,90.7,,97.25
MI300A,R1000,ad_ptycho,4,1000,1000,64,95.05555556,135.0,97.70588235
MI300A,R1000,ad_ptycho,6,1000,1000,64,93.89473684,162.0,97.75
MI300A,R1000,bh,1,1000,1000,64,95.33333333,143.0,94.22580645
MI300A,R1000,bh,2,1000,1000,64,97.35,,89.87096774
MI300A,R1000,bh,4,1000,1000,64,95.61111111,129.0,94.15625
MI300A,R1000,bh,6,1000,1000,64,91.94444444,132.0,92.34375
